GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TexasHoldem,lubiezurek.texasholdem.server.model,Deck,5,149,2,4,0,19,2,8,0,7
TexasHoldem,lubiezurek.texasholdem.server,ServerEvent,4,42,1,5,0,13,1,7,0,5
TexasHoldem,lubiezurek.texasholdem.server,ServerOptions.LicitationType,9,39,0,0,0,4,2,2,2,2
TexasHoldem,lubiezurek.texasholdem.server,ServerResponse,0,32,0,4,0,10,0,6,0,4
TexasHoldem,lubiezurek.texasholdem.server,Server,76,85,1,3,15,21,5,8,4,7
TexasHoldem,lubiezurek.texasholdem.server,PlayerState,9,59,0,0,0,2,2,2,2,2
TexasHoldem,lubiezurek.texasholdem.server,GameState,0,50,0,6,0,13,0,8,0,5
TexasHoldem,lubiezurek.texasholdem.server,ServerEvent.Type,9,159,0,0,0,12,2,2,2,2
TexasHoldem,lubiezurek.texasholdem.server,ServerOptions,177,36,16,0,20,12,12,5,4,5
TexasHoldem,lubiezurek.texasholdem.server,ServerMessage,0,3,0,0,0,1,0,1,0,1
TexasHoldem,lubiezurek.texasholdem.server,Client,57,53,4,6,17,16,12,7,10,4
TexasHoldem,lubiezurek.texasholdem.server,ServerResponse.Status,9,29,0,0,0,3,2,2,2,2
TexasHoldem,lubiezurek.texasholdem.server.gamestates,Lobby,10,280,4,24,0,56,4,18,0,8
TexasHoldem,lubiezurek.texasholdem.server.gamestates,GamePlay,27,218,5,19,6,57,8,20,3,13
TexasHoldem,lubiezurek.texasholdem.server.states,Shuffle,93,165,5,5,18,31,6,4,3,2
TexasHoldem,lubiezurek.texasholdem.server.states,LicitationNoLimit,12,3,0,0,3,2,3,1,3,1
TexasHoldem,lubiezurek.texasholdem.server.states,Showdown,379,607,53,59,71,89,44,33,6,15
TexasHoldem,lubiezurek.texasholdem.server.states,Licitation,422,52,63,3,61,15,44,3,4,3
TexasHoldem,lubiezurek.texasholdem,Logger,3,27,0,0,1,6,1,3,1,3
TexasHoldem,lubiezurek.texasholdem,Program,40,0,2,0,11,0,3,0,2,0
TexasHoldem,lubiezurek.texasholdem.json,JSONClientMessageBuilder,71,3,4,0,16,1,4,1,2,1
TexasHoldem,lubiezurek.texasholdem.json,JSONServerEventBuilder,82,3,4,0,18,1,4,1,2,1
TexasHoldem,lubiezurek.texasholdem.json,JSONServerResponseBuilder,48,3,0,0,11,1,2,1,2,1
TexasHoldem,lubiezurek.texasholdem.json,JSONServerMessageBuilder,62,39,4,0,9,9,4,2,2,2
TexasHoldem,lubiezurek.texasholdem.server.deal,Bet,7,15,0,0,2,6,1,3,1,3
TexasHoldem,lubiezurek.texasholdem.server.deal,Deal,43,283,8,14,10,69,11,21,5,16
TexasHoldem,lubiezurek.texasholdem.server.model.card,Card,0,42,0,4,0,9,0,6,0,4
TexasHoldem,lubiezurek.texasholdem.server.model.card,Suit,7,76,1,4,1,14,2,8,1,5
TexasHoldem,lubiezurek.texasholdem.server.model.card,Suit.new Object() {...},4,29,0,0,0,1,0,1,0,1
TexasHoldem,lubiezurek.texasholdem.server.model.card,CardValue,7,181,1,6,1,24,2,9,1,5
TexasHoldem,lubiezurek.texasholdem.client,ClientMessage,4,22,0,0,2,8,1,3,1,3
